"Subject"	"Q1.a"	"Q1.b"	"Q1.c"	"Q1.d"	"Q1.e"	"Q2.a"	"Q2.b"	"Q2.c"	"Q2.d"	"Q2.e"	"Q2.f"	"Q2.g"	"Q2.h"	"Suspected"	"Game.affect.distraction"	"Surprise"	"Station"	"Condition"	"Game.1"	"Game.2"	"Game.3"	"Game.4"	"Game.5"	"Game.6"	"RA"	"goodSession"	"Assignment"	"irritated"	"happy"	"angered"	"helpful"	"pleased"	"annoyed"	"easy.nav"	"excited"	"engaged"	"challenging"	"stressful"	"violence"	"diff.nav"	"reflexes"	"satisfying"	"effective"	"difficult"	"good.fight"	"hard.control"	"mental.effort"	"comfort.control"	"exhausting"	"aggressed"	"enjoyed"	"often.played"	"FPS.experience"	"FPS.skill"	"mkb.experience"	"vg.freq"	"vg.cumul"	"age"	"race"	"race2"	"year"	"GPA"	"knew.others"	"knew.partner"	"gender"	"rating1"	"rating2"	"rating3"	"rating4"	"rating5"	"rating6"	"L_ring_length"	"L_ring_angle"	"L_index_length"	"L_index_angle"	"R_index_length"	"R_index_angle"	"R_ring_length"	"R_ring_angle"	"DV"	"Violence"	"Difficulty"	"L2d4d"	"R2d4d"
1	0	0	0	0	0	0	1	1	0	0	1	1	0	3	"No"	"No"	4	1	0	508	17	1650	171	0	"Jimmy"	"Maybe"	4	5	2	4	4	2	5	7	4	5	3	3	4	1	1	4	5	1	1	1	4	6	3	4	4	4	5	4	5	3	4	19	5	NA	2	3.9	"Yes"	"No"	"M"	NA	NA	NA	NA	NA	NA	912.45	88.305	874.15	85.145	891.7	87.105	923.1	87.985	4	"Violent"	"Easy"	0.958025097265603	0.96598418372874
2	1	0	0	0	1	1	0	0	0	0	1	0	0	4	"No"	"No"	2	2	3	193	3	896	33	95	"Mallory"	"Yes"	5	1	4	1	1	7	1	2	1	7	6	5	7	3	7	2	1	7	7	7	7	6	6	4	1	5	7	4	1	3	3	19	2	NA	2	2.5	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	954.15	89.01	879	77.315	871.55	75.175	969.25	87.78	5	"Violent"	"Hard"	0.921238798930986	0.899200412690224
3	0	0	1	0	0	1	0	1	1	0	1	0	0	3	"Yes"	"No"	4	3	0	156	5	46	144	0	"Jimmy"	"Yes"	5	7	2	5	1	1	1	7	3	3	2	1	1	1	2	2	3	2	1	3	1	5	1	1	1	1	4	7	3	1	3	18	5	NA	1	3.3	"No"	"No"	"M"	10	10	10	10	10	10	935.75	87.765	907.55	80.295	901.15	81.61	930.65	86.58	5	"Less Violent"	"Easy"	0.969863745658563	0.968301724601085
5	0	0	1	0	0	1	1	0	0	1	1	0	0	1	"No"	"No"	4	1	0	485	19	1134	227	0	"Danielle"	"Maybe"	2	1	4	1	1	1	1	7	1	1	1	1	7	1	1	7	7	1	1	1	1	7	1	1	2	7	7	7	7	7	7	18	5	NA	1	3.3	"No"	"No"	"M"	0	0	0	0	0	0	856	89.765	860.4	80.065	865.95	79.155	876.25	86.4	2	"Violent"	"Easy"	1.00514018691589	0.988245363766049
6	0	1	0	0	0	1	0	0	0	0	0	1	0	1	"Maybe"	"Maybe"	2	2	4	286	6	1444	101	100	"JC"	"Yes"	9	4	7	1	4	7	1	6	6	6	3	2	3	2	4	4	6	2	5	2	5	3	2	1	6	2	5	5	2	2	3	21	5	NA	3	3.3	"No"	"No"	"M"	7	5	7	8	6	7	908.7	88.995	896.55	86.185	854.65	87.05	907.1	88.015	9	"Violent"	"Hard"	0.986629250577748	0.942178370631683
7	1	0	1	0	1	0	1	0	0	1	1	0	0	3	"Maybe"	"Yes"	2	3	0	96	22	87	111	0	"Stephen"	"Yes"	7	5	2	5	1	1	5	6	3	5	2	3	4	2	3	5	3	5	3	5	3	5	4	3	3	3	5	2	3	2	4	19	5	NA	1	3.7	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	891.55	87.94	864.15	85.125	849.9	71.62	906.65	82.555	7	"Less Violent"	"Easy"	0.969267006898099	0.93740693762753
8	0	0	0	0	1	1	0	0	0	0	0	0	0	3	"Maybe"	"Yes"	4	4	0	368	12	1267	126	60	"Melissa"	NA	5	1	4	1	4	4	4	6	3	4	3	2	2	3	4	5	6	3	4	4	2	5	2	2	4	3	5	4	4	5	5	19	3	NA	2	3.91	"Yes"	"No"	"M"	7	7	7	7	4	6	942.3	86.25	827	84.48	887.25	86.43	882.1	85.83	5	"Less Violent"	"Hard"	0.877639817467898	1.00583834032423
10	0	1	0	0	0	0	0	0	0	0	0	1	0	4	"Yes"	"No"	2	2	2	229	6	730	75	80	"SC"	"Yes"	4	6	2	5	1	1	5	6	6	6	3	3	5	2	2	6	6	2	2	2	2	4	2	6	6	5	6	4	6	4	6	18	6	NA	1	3.83	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	909.3	87.605	847.95	88.175	866.05	89.44	916.2	82.095	4	"Violent"	"Hard"	0.932530517980865	0.945263043003711
11	1	1	0	0	0	1	1	0	0	1	1	1	0	2	"No"	"No"	4	3	0	401	14	1573	120	0	"Melissa"	"Yes"	5	5	3	4	2	4	5	6	5	5	1	2	1	2	2	6	5	4	3	5	3	6	3	1	5	2	6	5	3	5	5	19	5	NA	2	2.9	"No"	"No"	"M"	4	-9	0	8	0	2	946.65	86.635	887.65	85.995	893.1	87.91	949.05	88.125	5	"Less Violent"	"Easy"	0.937674959066181	0.941046309467362
12	0	1	0	0	0	0	0	0	0	0	1	0	0	2	"Yes"	"No"	2	4	4	283	7	1220	65	91	"SC"	"Yes"	9	5	2	6	4	2	5	1	5	6	6	3	5	5	6	5	5	5	6	6	4	5	3	4	5	2	7	6	3	2	3	20	5	NA	2	3.5	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	870.8	86.41	852.2	89.035	854.65	89.025	871.3	83.675	9	"Less Violent"	"Hard"	0.978640330730363	0.980890623206703
15	0	0	0	1	0	1	0	0	1	0	0	1	0	4	"Maybe"	"No"	2	3	0	202	22	425	100	0	"Mallory"	"Maybe"	4	4	2	4	1	1	4	7	3	2	2	1	5	2	1	4	3	2	1	2	2	7	1	3	4	5	7	6	6	5	6	19	5	NA	1	3.9	"Yes"	"Yes"	"M"	0	-7	0	7	5	3	886.8	85.48	819.7	81.655	825.95	84.405	916.9	88.31	4	"Less Violent"	"Easy"	0.924334686513306	0.900807067291962
18	0	1	0	0	0	1	0	0	0	0	1	0	0	4	"No"	"No"	4	2	0	354	11	1264	103	73	"JH"	"Maybe"	4	6	2	3	1	2	5	7	7	7	3	2	6	2	2	6	6	3	5	3	2	7	2	3	7	4	7	7	6	6	7	19	5	NA	2	3.2	"No"	"No"	"M"	3	4	5	8	7	7	873.75	80.22	865.35	88.38	820.35	84.085	877.3	88.5	4	"Violent"	"Hard"	0.990386266094421	0.935084919639804
20	1	0	0	1	0	1	0	0	0	0	0	1	1	5	"No"	"Yes"	4	4	2	332	7	1405	107	65	"JH"	"Maybe"	2	6	4	3	4	4	5	7	7	7	6	5	3	1	7	6	6	1	5	1	3	7	2	4	7	7	7	5	7	7	7	18	5	NA	1	3.7	"No"	"No"	"M"	6	1	4	9	6	4	888.55	89.355	906.75	82.27	904.15	84.19	894.4	88.335	2	"Less Violent"	"Hard"	1.02048280907096	1.0109011627907
21	0	0	0	1	0	1	1	0	1	0	1	1	0	3	"No"	"No"	4	1	0	393	13	397	282	0	"Ashley"	"Maybe"	4	5	4	4	3	2	5	6	5	6	3	3	6	3	3	5	5	3	1	3	2	6	2	5	5	3	7	5	5	3	4	18	5	NA	1	4	"Yes"	"No"	"M"	7	6	7	8	8	7	809.1	89.15	752.95	80.675	760	76.03	824.15	84.99	4	"Violent"	"Easy"	0.930601903349401	0.922162227749803
22	0	0	1	0	0	0	1	0	0	0	0	0	0	4	"No"	"Yes"	2	2	1	235	4	1005	81	47	"JH"	"Yes"	9	5	1	6	4	1	5	7	4	6	3	1	3	1	6	4	6	5	6	1	6	7	1	1	7	5	7	6	6	5	7	18	5	NA	1	3.8	"No"	"No"	"M"	8	10	7	9	5	8	936.1	88.01	886.65	82.71	848.55	83.775	910.65	86.09	9	"Violent"	"Hard"	0.947174447174447	0.9318069510789
23	1	1	1	1	1	1	1	0	1	1	0	1	0	2	"No"	"No"	4	3	0	465	16	2524	162	0	"Danielle"	"Yes"	3	7	1	7	1	1	7	7	2	4	1	1	1	1	1	5	5	1	1	NA	2	7	1	1	4	2	7	5	2	4	5	18	5	NA	1	3.85	"No"	"No"	"M"	8	9	8	8	7	8	896.85	88.37	885.15	82	890.5	85.715	912.8	84.78	3	"Less Violent"	"Easy"	0.986954340190667	0.97556967572305
24	1	0	1	0	0	1	1	1	0	0	0	0	0	3	"Maybe"	"Yes"	2	4	1	462	12	2224	79	87	"JC"	"Yes"	9	7	1	7	1	1	7	7	5	6	1	1	1	1	1	7	5	1	5	1	1	7	1	3	3	2	7	7	2	7	7	18	2	NA	1	3.8	"No"	"No"	"M"	8	5	7	10	1	7	951.05	83.295	902.45	83.7	921.35	78.545	970.55	88.085	9	"Less Violent"	"Hard"	0.948898585773619	0.949307093915821
25	0	1	0	0	1	0	1	0	0	0	0	1	0	1	"Maybe"	"Maybe"	4	1	0	548	19	1718	236	0	"JC"	"Yes"	7	4	4	4	4	4	4	7	6	6	1	2	7	1	6	7	7	1	1	1	2	6	4	3	4	2	7	7	1	2	5	19	5	NA	1	3.4	"No"	"No"	"M"	2	5	4	5	7	5	943.55	87.33	951.6	87.255	921.85	84.43	911.1	89.15	7	"Violent"	"Easy"	1.00853160934768	1.01179892437713
26	0	0	1	0	0	0	0	0	0	0	0	0	0	1	"No"	"Yes"	2	2	0	351	11	1722	85	55	"Mallory"	"Maybe"	1	1	4	1	1	4	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	7	1	1	5	7	7	1	5	7	7	18	5	NA	1	4	"No"	"No"	"M"	-5	-5	-5	-5	-5	-5	933.15	85.665	868.05	89.505	874.1	86.595	958	86.235	1	"Violent"	"Hard"	0.930236296415367	0.912421711899791
28	0	0	1	0	0	0	0	0	0	0	1	0	0	3	"Maybe"	"No"	4	4	2	381	9	1700	85	74	"Danielle"	"Maybe"	7	1	4	1	2	5	4	7	5	6	2	2	2	1	5	6	7	1	4	1	4	7	1	2	5	NA	NA	NA	NA	NA	NA	18	5	NA	1	3.8	"No"	"No"	"M"	5	7	2	9	6	5	854	81.685	792.8	81.99	797.15	79.775	804.75	84.835	7	"Less Violent"	"Hard"	0.928337236533958	0.990556073314694
29	0	1	1	1	0	1	0	0	0	0	0	1	0	4	"No"	"No"	2	1	0	451	15	1600	165	0	"JC"	"Yes"	5	6	1	4	1	1	6	7	4	5	2	1	5	1	1	4	6	2	1	3	2	7	2	2	5	3	6	5	5	3	5	18	5	NA	1	4	"No"	"No"	"M"	9	6	7	10	8	8	861	89.77	828.05	84.7	821.2	82.405	867.75	86.365	5	"Violent"	"Easy"	0.961730545876887	0.946355517142034
30	0	0	1	0	0	1	1	0	1	0	0	0	0	2	"No"	"Yes"	1	2	3	318	5	1221	72	113	"JC"	"Yes"	9	7	1	6	1	1	7	6	5	6	6	5	7	5	6	5	6	5	5	6	5	6	4	6	5	5	6	5	3	5	7	24	5	NA	4	3.2	"No"	"No"	"M"	7	5	6	8	7	7	926	89.595	901.05	81.67	897.8	85.88	927	89.57	9	"Violent"	"Hard"	0.973056155507559	0.968500539374326
31	0	1	0	0	1	1	0	0	0	0	0	0	0	2	"No"	"Yes"	4	3	0	510	17	256	454	0	"Danielle"	"Yes"	7	7	1	5	1	1	7	7	4	5	2	1	2	1	1	4	5	1	1	1	2	7	1	4	3	5	7	6	5	5	6	19	5	NA	1	3.7	"No"	"No"	"M"	8	5	7	8	6	7	859.4	85.76	789.25	74.65	795.2	75.84	810	89.755	7	"Less Violent"	"Easy"	0.918373283686293	0.981728395061728
32	1	1	1	1	1	1	1	1	0	0	0	0	1	2	"Maybe"	"Yes"	4	4	5	281	7	989	137	90	"Danielle"	"Yes"	9	7	1	7	1	1	7	7	4	5	2	1	2	2	4	5	5	3	3	3	3	5	2	2	5	2	5	3	5	2	2	18	5	NA	1	3.6	"No"	"No"	"M"	7	3	7	8	8	7	929.95	88.18	892.9	76.165	869.75	80.77	923.75	87.02	9	"Less Violent"	"Hard"	0.960159148341309	0.941542625169148
36	0	1	0	0	0	1	0	0	1	0	0	1	0	2	"No"	"Yes"	2	4	2	270	4	912	125	85	"SC"	"Yes"	6	5	3	4	1	3	5	7	5	5	6	2	1	1	3	4	5	2	2	7	5	5	1	1	5	2	7	6	3	3	5	18	3	NA	1	2.8	"No"	"No"	"M"	5	7	7	8	7	7	876.05	85.615	824.15	86.345	821.8	82.905	879.55	89.445	6	"Less Violent"	"Hard"	0.940756806118372	0.934341424592121
38	1	0	0	0	1	1	0	0	1	0	0	1	0	4	"Maybe"	"Yes"	2	2	3	300	6	1261	102	81	"SC"	"Yes"	6	6	3	6	1	4	4	7	6	6	7	5	7	2	5	6	6	5	7	6	5	7	2	3	6	5	6	6	2	6	6	18	5	NA	1	3	"No"	"No"	"M"	6	6	4	7	6	5	970	89.765	941	81.63	942.1	89.335	988.4	83.26	6	"Violent"	"Hard"	0.970103092783505	0.95315661675435
40	1	1	1	0	0	1	1	0	0	0	1	1	0	2	"No"	"No"	2	4	3	175	3	552	75	68	"SC"	"Yes"	5	5	2	4	1	2	4	5	5	5	5	4	4	3	5	5	5	4	5	5	5	3	3	5	5	1	2	1	2	1	1	19	5	NA	2	3.3	"No"	"No"	"M"	4	5	-2	6	3	4	915.25	84.17	897.55	89.455	888.05	89.585	938.8	82.37	5	"Less Violent"	"Hard"	0.980661021578804	0.945941627609715
41	0	1	0	1	1	0	1	0	0	0	0	0	0	5	"No"	"Yes"	4	1	0	541	13	1801	153	0	"Melissa"	"Yes"	9	7	2	7	1	1	7	7	5	5	1	1	7	1	4	7	5	1	1	1	4	7	1	7	7	7	7	7	7	5	7	19	1	NA	1	3.89	"Yes"	"Yes"	"M"	5	2	4	7	0	4	1065.55	77.31	1062.55	88.115	1053.55	83.625	1056.1	85.52	9	"Violent"	"Easy"	0.997184552578481	0.997585455922735
43	1	0	1	0	1	1	0	0	0	0	0	1	0	4	"Maybe"	"Yes"	2	3	0	353	13	602	233	0	"Melissa"	NA	4	4	2	4	2	2	5	6	5	5	3	4	3	3	3	4	5	4	3	5	5	6	4	5	4	2	2	2	5	1	1	20	3	NA	1	NA	"No"	"No"	"M"	7	2	5	5	6	5	858.6	87.095	811.7	88.87	816.05	83.035	860.55	88.07	4	"Less Violent"	"Easy"	0.945376193803867	0.948288885015397
44	0	0	1	0	0	1	1	0	1	0	1	1	0	3	"No"	"No"	4	4	4	257	3	981	107	94	"Danielle Tobias"	"Yes"	6	7	1	7	1	1	7	5	6	7	6	4	3	4	7	5	7	4	5	4	5	6	5	6	7	5	7	6	5	4	5	18	5	NA	1	3.887	"No"	"No"	"M"	0	-10	-6	3	-3	-5	1057.95	86.505	981.75	86.115	945.35	88.565	1004.7	84.47	6	"Less Violent"	"Hard"	0.927973911810577	0.94092764009157
45	0	1	0	0	0	0	0	0	0	0	0	1	0	2	"No"	"No"	2	1	0	335	22	2134	110	0	"JC"	"Yes"	7	5	3	4	2	2	5	7	5	6	1	1	4	1	1	7	6	6	6	2	1	7	1	3	6	6	7	7	5	4	6	18	5	NA	1	3.7	"No"	"No"	"M"	8	4	7	9	8	8	978.1	86.01	927.566666666667	86.7433333333333	944.4	81.7766666666667	970.066666666667	85.9866666666667	7	"Violent"	"Easy"	0.948335207715639	0.973541337365129
47	0	0	0	1	0	1	0	0	0	0	0	0	0	2	"No"	"Yes"	2	3	0	441	15	266	16	0	"Mallory Baldain"	"Yes"	9	7	1	5	1	1	5	7	5	5	1	1	1	1	1	5	6	1	1	1	1	7	4	1	4	3	6	6	4	2	3	18	5	NA	1	3	"Yes"	"Yes"	"M"	6	2	3	10	4	5	867.133333333333	88.92	851.966666666667	80.9533333333333	854.166666666667	88.97	883.033333333333	81.97	9	"Less Violent"	"Easy"	0.98250941800569	0.967309652334756
48	0	0	0	1	0	0	0	0	0	1	0	0	0	5	"No"	"Maybe"	2	4	6	248	3	1693	23	113	"Mallory Baldain"	"Yes"	9	4	4	4	1	1	1	7	1	5	5	2	1	1	6	3	3	3	5	5	1	4	1	5	4	7	7	7	6	1	7	19	5	NA	1	3.7	"No"	"No"	"M"	-10	-10	-7	0	1	-10	919.066666666667	87.2566666666667	829.4	88.2033333333333	825.066666666667	89.21	901.733333333333	87.7566666666667	9	"Less Violent"	"Hard"	0.902437255186421	0.914978559810736
49	0	1	0	0	0	0	0	0	0	0	1	1	0	2	"No"	"Yes"	4	1	0	507	17	1060	251	0	"JC"	"Yes"	8	7	1	7	1	1	7	6	5	5	2	2	5	2	5	4	3	3	3	1	2	7	2	6	5	3	7	6	5	6	7	18	5	NA	1	3.67	"No"	"No"	"M"	7	7	6	10	9	8	897.4	85.0133333333333	838.166666666667	86.5533333333333	859.733333333333	89.3166666666667	891.166666666667	86.3866666666667	8	"Violent"	"Easy"	0.933994502637249	0.964727884795212
50	1	0	1	0	0	1	0	0	0	0	0	0	0	2	"No"	"No"	4	2	7	232	3	1297	47	139	"Danielle Tobias"	"Yes"	5	7	1	7	1	1	7	7	5	6	5	4	5	5	7	6	5	5	6	3	3	5	2	3	6	4	7	3	3	4	7	19	5	NA	1	3.7	"No"	"No"	"M"	0	0	8	9	7	3	911.366666666667	87.2966666666667	862.066666666667	74.2466666666667	866.7	71	911.066666666667	79.11	5	"Violent"	"Hard"	0.945905416773344	0.9513025025611
51	0	1	0	0	0	0	0	1	0	0	1	1	0	2	"No"	"No"	2	3	0	513	17	2982	55	0	"JC"	"Maybe"	4	2	2	1	1	1	2	7	3	6	1	1	1	1	2	5	6	1	1	1	2	7	1	4	5	5	7	5	7	5	6	18	5	NA	1	2.7	"No"	"No"	"M"	5	-3	3	6	5	4	904	85.39	894.233333333333	88.2266666666667	868.066666666667	89.2266666666667	909.3	81.1	4	"Less Violent"	"Easy"	0.98919616519174	0.954653762967851
52	0	0	1	0	0	0	1	0	0	0	0	0	0	3	"No"	"No"	4	4	3	390	18	1294	128	92	"Danielle Tobias"	"Yes"	7	6	2	6	1	1	7	7	4	6	1	1	1	1	7	6	5	2	4	5	2	7	2	1	5	5	7	7	4	5	6	18	5	NA	1	3.8	"No"	"No"	"M"	5	6	4	8	-1	5	746.466666666667	88.9733333333333	754.066666666667	85.7866666666667	735.966666666667	81.5633333333333	733.766666666667	86.46	7	"Less Violent"	"Hard"	1.01018129856211	1.00299822831963
53	0	0	0	0	1	1	0	0	0	0	0	0	0	3	"Yes"	"Maybe"	2	1	0	512	22	1003	281	0	"JC"	"Yes"	7	5	3	3	2	3	6	7	6	7	2	1	7	1	2	7	7	6	1	2	2	6	1	6	7	7	7	3	7	6	7	19	5	NA	1	3.2	"No"	"No"	"M"	5	3	35	6	6	6	886.4	86.1666666666667	839.6	85.54	822	89.8833333333333	869.7	81.16	7	"Violent"	"Easy"	0.947202166064982	0.945153501207313
54	0	1	1	0	1	1	0	0	0	0	1	0	0	3	"Maybe"	"No"	2	2	0	330	10	1085	83	53	"SC"	"Yes"	3	6	2	7	1	4	5	7	6	6	5	4	6	2	6	4	6	2	1	1	4	7	3	6	6	5	7	6	7	7	5	18	5	NA	1	3.9	"No"	"No"	"M"	9	-2	4	5	-3	6	923.666666666667	85.3866666666667	902.233333333333	86.2933333333333	913.566666666667	87.4866666666667	927.966666666667	83.8766666666667	3	"Violent"	"Hard"	0.976795380728978	0.984482201228492
56	1	1	1	0	0	1	0	0	0	0	0	0	0	2	"No"	"No"	2	4	0	428	14	1586	148	55	"SC"	"Yes"	9	5	1	3	1	1	6	7	6	6	1	1	1	1	2	5	6	1	2	1	3	7	1	3	6	6	7	7	7	5	7	19	5	NA	2	3	"No"	"No"	"M"	6	2	5	7	-5	2	909.3	77.0966666666667	901.933333333333	87.9833333333333	875.9	87.4066666666667	921.866666666667	82.06	9	"Less Violent"	"Hard"	0.991898530004765	0.950137402371999
58	0	1	0	0	0	0	0	0	0	0	0	0	0	1	"No"	"No"	2	2	3	213	6	855	82	71	"SC"	"Yes"	5	2	4	2	6	4	2	6	5	6	5	1	5	2	3	5	6	3	5	6	4	5	1	5	5	3	7	3	4	5	3	21	5	NA	3	3.1	"Yes"	"No"	"M"	7	6	8	10	9	8	963.933333333333	82.21	935.7	89.6566666666667	924.633333333333	87.9133333333333	981.066666666667	85.2433333333333	5	"Violent"	"Hard"	0.970710284252023	0.942477575428105
60	0	0	0	0	1	0	0	0	0	0	1	0	0	1	"No"	"Yes"	2	4	14	445	19	927	124	219	"SC"	"Yes"	9	7	1	7	1	1	7	7	4	5	5	5	1	1	5	1	1	7	5	1	4	7	4	1	4	1	7	7	7	7	7	19	5	NA	1	3.6	"No"	"No"	"M"	10	-10	0	0	-10	-5	878.333333333333	87.32	776.5	87.9633333333333	784.033333333333	89.4933333333333	859.4	87.1766666666667	9	"Less Violent"	"Hard"	0.884060721062619	0.912303157241486
61	0	1	0	0	0	1	0	0	0	1	1	1	0	2	"No"	"No"	4	1	0	376	12	967	185	0	"Melissa"	"Yes"	9	7	1	5	2	1	7	7	7	7	1	1	5	1	1	7	7	1	1	1	1	7	1	1	7	7	7	3	5	5	7	18	5	NA	1	3.2	"No"	"No"	"M"	4	3	2	5	2	5	840.4	82.2233333333333	802.033333333333	89.69	816.2	87.4	845.633333333333	81.7966666666667	9	"Violent"	"Easy"	0.954347136284309	0.965193740391817
62	0	1	0	1	0	1	1	0	0	0	1	1	0	2	"Maybe"	"Yes"	2	2	2	227	5	783	48	30	"Mallory Baldain"	"Yes"	7	5	3	5	4	2	6	2	6	6	5	5	6	2	5	6	6	4	5	5	3	4	2	5	6	2	5	4	3	4	5	18	5	NA	1	3.7	"No"	"No"	"M"	6	5	5	8	7	6	907.566666666667	86.2666666666667	895.933333333333	82.5366666666667	862.6	84.8266666666667	875.7	86.7966666666667	7	"Violent"	"Hard"	0.987181841554339	0.985040538997374
64	0	0	1	0	0	0	0	0	0	0	0	1	0	1	"No"	"Maybe"	2	4	2	243	3	402	104	76	"Mallory Baldain"	"Yes"	9	7	1	7	1	1	7	6	5	7	5	2	2	1	2	2	5	4	5	3	5	5	3	3	5	4	6	6	6	7	7	18	2	NA	1	3.8	"No"	"No"	"M"	7	7	9	10	7	8	930.6	85.7466666666667	926.466666666667	85.2966666666667	933.4	89.3033333333333	944.5	85.22	9	"Less Violent"	"Hard"	0.995558421090336	0.988247750132345
68	1	1	0	0	1	1	0	0	0	0	1	0	0	4	"No"	"No"	4	4	1	213	6	910	77	35	"Danielle Tobias"	"Yes"	9	6	1	5	1	2	6	6	6	7	4	1	1	2	4	5	6	4	5	4	5	7	2	2	6	3	7	7	3	4	4	18	3	NA	1	3.2	"No"	"No"	"M"	7	5	3	5	4	4	882.033333333333	86.8366666666667	865.433333333333	79.93	857.333333333333	72.4366666666667	892.1	80.5566666666667	9	"Less Violent"	"Hard"	0.981179849589963	0.961028285319284
69	1	1	1	0	0	1	1	0	0	0	1	1	0	2	"No"	"Yes"	2	1	0	508	17	1327	200	0	"JC"	"Yes"	9	7	1	7	1	1	1	7	6	7	4	1	3	1	1	5	7	2	5	2	4	4	2	5	5	2	7	7	7	5	5	20	5	NA	2	3	"No"	"No"	"M"	4	0	0	-4	-5	0	944.9	84.5766666666667	901.833333333333	86.8033333333333	895.533333333333	88.7433333333333	972.766666666667	80.83	9	"Violent"	"Easy"	0.954421984689738	0.920604461501558
72	0	0	1	0	0	1	0	0	0	0	0	1	1	2	"No"	"Maybe"	2	4	2	327	10	1238	138	76	"Mallory Baldain"	"Yes"	5	7	1	5	1	1	7	6	7	7	2	2	1	1	6	6	6	5	5	5	1	7	2	5	7	1	6	6	3	5	5	18	5	NA	1	4	"No"	"No"	"M"	-2	-5	-5	0	-8	-4	941.9	82.9066666666667	885.033333333333	89.61	872.433333333333	83.6166666666667	930	89.7733333333333	5	"Less Violent"	"Hard"	0.939625579502424	0.938100358422939
73	0	1	0	0	0	0	0	0	0	0	0	1	0	2	"No"	"Yes"	4	1	0	387	13	1403	73	0	"JH"	"Yes"	1	3	4	4	1	4	4	7	7	7	1	1	1	1	5	7	7	1	3	1	1	7	1	1	7	3	7	7	5	5	5	19	5	NA	2	3.2	"No"	"No"	"M"	10	-6	3	7	3	2	923.033333333333	89.67	877.033333333333	82.58	886.233333333333	87.4566666666667	949.5	86.78	1	"Violent"	"Easy"	0.950164313314795	0.933368439529577
77	1	0	0	0	1	0	1	0	0	0	0	1	0	1	"Maybe"	"Yes"	2	1	0	327	11	808	161	0	"JC"	"Yes"	8	4	4	5	2	2	4	6	3	5	2	2	6	2	2	3	6	2	1	2	3	5	2	2	4	2	5	3	5	2	3	18	5	NA	1	3.9	"No"	"No"	"M"	7	6	5	8	7	7	923.575	84.47	NA	86.945	880.075	76.74	890.975	80.4175	8	"Violent"	"Easy"	NA	0.987766211173153
78	0	0	1	0	0	0	0	0	0	0	1	0	0	5	"No"	"No"	4	2	1	153	3	590	36	50	"MN"	"Yes"	8	7	4	5	1	1	7	7	7	7	5	5	6	2	6	5	5	5	6	3	5	6	5	3	6	3	5	4	5	2	4	19	5	NA	2	3	"No"	"No"	"M"	6	-8	0	2	-2	-2	937.066666666667	81.9033333333333	859.966666666667	88.8	870.2	84.6633333333333	917.033333333333	87.46	8	"Violent"	"Hard"	0.917721969265794	0.948929519101451
81	0	0	1	0	0	0	1	1	0	0	0	0	0	4	"No"	"No"	4	1	0	481	16	2412	37	0	"Danielle Tobias"	"Yes"	5	6	4	2	1	3	5	7	6	6	1	1	4	1	2	3	5	3	1	1	2	7	2	1	7	7	7	6	5	3	4	19	5	NA	1	3.94	"No"	"No"	"M"	7	6	3	10	7	5	1005.83333333333	89.03	922.2	86.6866666666667	916.9	75.49	1000.83333333333	86.5633333333333	5	"Violent"	"Easy"	0.916851698425852	0.916136552872609
85	0	1	0	0	0	1	0	0	0	0	0	1	0	4	"No"	"No"	2	1	0	453	16	135	352	0	"Mallory Baldain"	"Yes"	5	5	3	4	1	3	4	7	4	5	1	1	7	2	1	5	6	1	1	2	2	6	1	2	4	3	6	5	5	4	5	19	5	NA	1	3.98	"No"	"No"	"M"	4	2	0	2	1	2	1007.73333333333	88.41	966.433333333333	86.64	931.766666666667	88.32	982.3	84.8733333333333	5	"Violent"	"Easy"	0.959016935697277	0.948556109810309
86	0	0	0	0	1	0	1	0	0	0	1	0	0	2	"Maybe"	"No"	2	2	1	305	9	1383	36	74	"Mallory Baldain"	"Yes"	9	7	1	7	1	1	7	7	7	7	1	1	3	1	7	7	7	1	1	2	7	7	1	4	5	5	7	7	7	7	7	18	5	NA	1	3.3	"No"	"No"	"M"	4	0	3	1	-4	2	918	85.1666666666667	864.4	89.3366666666667	881.166666666667	83.2466666666667	930.066666666667	89.2833333333333	9	"Violent"	"Hard"	0.94161220043573	0.947423123790409
87	0	0	1	0	0	0	0	0	0	0	0	1	0	2	"No"	"No"	4	3	0	362	12	2984	32	0	"JC"	"Yes"	6	2	4	4	2	4	4	5	4	4	4	4	4	2	3	4	3	2	2	3	2	3	2	1	2	2	5	5	4	3	2	19	3	NA	2	3.2	"No"	"No"	"M"	5	3	0	3	2	4	879.166666666667	88.0233333333333	819.433333333333	85.9166666666667	822.433333333333	87.0266666666667	888.166666666667	89	6	"Less Violent"	"Easy"	0.932056872037914	0.925989866766747
